MonitoringRef_ZDE,reflex_lda_id,reflex_lda_nom,reflex_zdl_id,reflex_zdl_nom,reflex_zde_id,reflex_zde_nom,gtfs_stop_id,Lineref,gtfs_line_name,codifligne_line_id,codifligne_line_externalcode,destination_code,codifligne_network_name,gtfs_agency,opendata_date,Dispo,reflex_zde_x,reflex_zde_y,xy,
STIF:StopPoint:Q:22030:,71337,Opéra,42237,Opéra,22030,OPÉRA,StopPoint:59211,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,651020.256,6863617.901,48.870723911, 2.33227328052
STIF:StopPoint:Q:22031:,71416,Malesherbes,59370,Malesherbes,22031,MALESHERBES,StopPoint:59441,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,649473.331,6864945.107,48.8825395858, 2.31102768525
STIF:StopPoint:Q:22032:,73617,Europe,42972,Europe,22032,EUROPE,StopPoint:59443,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,650347.498,6864550.995,48.879063461, 2.32299315017
STIF:StopPoint:Q:22033:,73635,Bourse,45101,Bourse,22033,BOURSE,StopPoint:59444,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,651636.013,6863394.858,48.8687646646, 2.34069271338
STIF:StopPoint:Q:22034:,73667,Louise Michel,51613,Louise Michel,22034,LOUISE MICHEL,StopPoint:59446,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,647796.746,6865708.739,48.8892728902, 2.28807342219
STIF:StopPoint:Q:22035:,72057,Pont de Levallois - Bécon,52354,Pont de Levallois - Bécon,22035,PONT DE LEVALLOIS-BÉCON,StopPoint:59589,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,647270.61,6866607.62,48.8973132372, 2.28078693837
STIF:StopPoint:Q:22036:,71519,Anatole France,42195,Anatole France,22036,ANATOLE-FRANCE,StopPoint:59447,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,647613.437,6866016.095,48.8920219199, 2.28553574024
STIF:StopPoint:Q:22037:,71817,Gallieni,47890,Gallieni,22037,GALLIENI (PARC DE BAGNOLET),StopPoint:59448,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,657155.201,6862739.836,48.863264908, 2.41599447841
STIF:StopPoint:Q:22038:,74040,Montparnasse Bienvenüe,58578,Montparnasse Bienvenüe (M4),22038,MONTPARNASSE-BIENVENUE,StopPoint:59266,STIF:Line::C01382:,12,C01382,100110012:12,-,METRO,METRO,2017-01-03,1,650357.765,6860655.262,48.8440305544, 2.32358814286
STIF:StopPoint:Q:22039:,71125,Pasteur,44273,Pasteur,22039,PASTEUR,StopPoint:59462,STIF:Line::C01382:,12,C01382,100110012:12,-,METRO,METRO,2017-01-03,1,649556.186,6860529.078,48.8428335344, 2.31268155393
STIF:StopPoint:Q:22040:,71409,Pigalle,44345,Pigalle,22040,PIGALLE,StopPoint:59431,STIF:Line::C01382:,12,C01382,100110012:12,-,METRO,METRO,2017-01-03,1,651394.568,6864871.998,48.8820300251, 2.3372324302
STIF:StopPoint:Q:22041:,72064,Porte de La Chapelle,44517,Porte de La Chapelle,22041,PORTE DE LA CHAPELLE,StopPoint:59513,STIF:Line::C01382:,12,C01382,100110012:12,-,METRO,METRO,2017-01-03,1,653025.366,6866630.226,48.8979621675, 2.35927392557
STIF:StopPoint:Q:22042:,71045,Porte de Versailles,49515,Porte de Versailles - Boulevard Lefebvre,22042,PORTE DE VERSAILLES,StopPoint:59514,STIF:Line::C01382:,12,C01382,100110012:12,-,METRO,METRO,2017-01-03,1,647725.543,6859369.166,48.8322565453, 2.28788211868
STIF:StopPoint:Q:22043:,71227,Rue du Bac,58717,Rue du Bac,22043,RUE DU BAC,StopPoint:59511,STIF:Line::C01382:,12,C01382,100110012:12,-,METRO,METRO,2017-01-03,1,650525.734,6861973.053,48.8558942811, 2.32572340715
STIF:StopPoint:Q:22044:,71366,Saint-Georges,44867,Saint-Georges,22044,SAINT-GEORGES,StopPoint:59512,STIF:Line::C01382:,12,C01382,100110012:12,-,METRO,METRO,2017-01-03,1,651436.333,6864489.877,48.8785968767, 2.33784558958
STIF:StopPoint:Q:22045:,71270,Solférino,44840,Solférino,22045,SOLFÉRINO,StopPoint:59599,STIF:Line::C01382:,12,C01382,100110012:12,-,METRO,METRO,2017-01-03,1,650336.33,6862268.467,48.858536329, 2.32310766493
STIF:StopPoint:Q:22046:,71355,Trinité d'Estienne d'Orves,45170,Trinité d'Estienne d'Orves,22046,TRINITÉ-D'ESTIENNE D'ORVES,StopPoint:59600,STIF:Line::C01382:,12,C01382,100110012:12,-,METRO,METRO,2017-01-03,1,650992.514,6864241.758,48.8763319905, 2.33182313384
STIF:StopPoint:Q:22047:,71091,Vaugirard,44995,Vaugirard,22047,VAUGIRARD (ADOLPHE CHÉRIOUX),StopPoint:59601,STIF:Line::C01382:,12,C01382,100110012:12,-,METRO,METRO,2017-01-03,1,648702.595,6860159.478,48.8394423437, 2.30109618803
STIF:StopPoint:Q:22048:,71113,Volontaires,45060,Volontaires,22048,VOLONTAIRES,StopPoint:59509,STIF:Line::C01382:,12,C01382,100110012:12,-,METRO,METRO,2017-01-03,1,649212.099,6860375.064,48.8414214624, 2.30801185106
STIF:StopPoint:Q:22049:,73640,Rennes,44609,Rennes,22049,RENNES,StopPoint:59510,STIF:Line::C01382:,12,C01382,100110012:12,-,METRO,METRO,2017-01-03,1,650688.438,6861116.203,48.8482011717, 2.32804014049
STIF:StopPoint:Q:22050:,71350,Notre-Dame-de-Lorette,44210,Notre-Dame-de-Lorette,22050,NOTRE-DAME DE LORETTE,StopPoint:59515,STIF:Line::C01382:,12,C01382,100110012:12,-,METRO,METRO,2017-01-03,1,651439.94,6864207.0,48.8760533138, 2.33792710643
